course_id,title,program_scope,status,page_slug,sheet_id
GP,General Paper ,ALL,active,gp,16sR5IOS7a1U1rYq5NGxp1fdZ7TcDd-202y6gEFtf9zg
RN_MED,Medicine & Medical Nursing,RN,active,rnmed,1XWl_9bFVbkdPjSRYRTrvYz8rLcG7BhsSrLMCISV-aFc
RN_SURG,Surgery & Surgical Nursing,RN,active,rnsurg,1QXyT5pFVlLETDUWAEouqvol1AKNoAsmGcP4l5yHyhRk
RM_PED_OBS_HRN,"Paediatric, Obstetric Anatomy, & High-Risk Neonates",RM,active,rmpedobshrn,1a-nSY4j4RAvkbBNibeDcHt6dolwc-GHP6Bm9Jsq9Z-c
RM_MID,Midwifery,RM,active,rmmid,1rZduglmQu-spqU76M0NeLtyvxE6SpOfJjjgLTQN8BF8
RPHN_PPHN,Principles of Public Health Nursing,RPHN,active,rphnpphn,1fMg9r6FLS-K9zH9msXyA20oRGgPCzSBnr3SOIAepm4Q
RPHN_DISEASE_CTRL,Principles of Disease Management & Control ,RPHN,active,rphndiseasectrl,1kTeCCS9GqkgulEczLftsvIwZINtPktup-umT96ckWkA
RMHN_PSYCH_NURS,Principles & Practice of Psychiatric Nursing,RMHN,active,rmhnpsychnurs,1sJ1fkfJ2xLC-49UknLI0kgwrWk7IutSH6CK6Uh-tm2I
RMHN_PSYCH_PPHARM,"Psychiatry, Psychopathology & Psychopharmacology",RMHN,active,rmhnpsychppharm,1MF1vjEDikhaIgfD3roNat_Fa-jSE08rd6FRcEq0hYdQ
NAC_BASIC_CLIN,Basic Clinical Nursing,NACNAP,active,nacbasicclin,1ScLxD9ohOyfq0XRfxYRq4ZcH2DmoMcmGif_Luw0GOmo
NAC_BASIC_PREV,Basic Preventive Nursing,NACNAP,active,nacbasicprev,1o7spF3dr2Tc3GdLngUvdXzxOVVJrZ3De30f0mUN72b4