product_id,name,courses_included,duration_days,status,kind,price_minor,currency,telegram_group_keys
WELCOME_TRIAL,Welcome Trial,GP,7,ACTIVE,TRIAL,,,
RN_FULL,Registered Nursing Full Access ,"GP, RN_MED, RN_SURG",365,ACTIVE,PAID,15000,GHS,
RM_FULL,Registered Midwife Full Access ,"GP, RM_PED_OBS_HRN, RM_MID",365,ACTIVE,PAID,15000,GHS,
RPHN_FULL,Registered Public Health Nursing Full Access ,"GP, RPHN_PPHN, RPHN_DISEASE_CTRL",365,ACTIVE,PAID,15000,GHS,
RMHN_FULL,Registered Mental Health Nursing Full Access ,"GP, RMHN_PSYCH_NURS, RMHN_PSYCH_PPHARM",365,ACTIVE,PAID,15000,GHS,
NACNAP_FULL,"Nursing Assistant, Preventive/Clinical Full Access ","GP, NAC_BASIC_CLIN, NAC_BASIC_PREV",365,ACTIVE,PAID,15000,GHS,
,,,,,,,,
GP_ONLY,General Paper Standalone Access,GP,365,ACTIVE,PAID,5000,GHS,
RN_MED_ONLY,Medicine & Medical Nursing Standalone Access,RN_MED,365,ACTIVE,PAID,5000,GHS,
RN_SURG_ONLY,Surgery & Surgical Nursing Standalone Access,RN_SURG,365,ACTIVE,PAID,5000,GHS,
RM_PED_OBS_HRN_ONLY,"Paediatric, Obstetric Anatomy, & High-Risk Neonates Standalone Access",RM_PED_OBS_HRN,365,ACTIVE,PAID,5000,GHS,
RM_MID_ONLY,Midwifery Standalone Access,RM_MID,365,ACTIVE,PAID,5000,GHS,
RPHN_PPHN_ONLY,Principles of Public Health Nursing Standalone Access,RPHN_PPHN,365,ACTIVE,PAID,5000,GHS,
RPHN_DISEASE_CTRL_ONLY,Principles of Disease Management & Control Standalone Access,RPHN_DISEASE_CTRL,365,ACTIVE,PAID,5000,GHS,
RMHN_PSYCH_NURS_ONLY,Principles & Practice of Psychiatric Nursing Standalone Access,RMHN_PSYCH_NURS,365,ACTIVE,PAID,5000,GHS,
RMHN_PSYCH_PPHARM_ONLY,"Psychiatry, Psychopathology & Psychopharmacology Standalone Access",RMHN_PSYCH_PPHARM,365,ACTIVE,PAID,5000,GHS,
NAC_BASIC_CLIN_ONLY,Basic Clinical Nursing Standalone Access,NAC_BASIC_CLIN,365,ACTIVE,PAID,5000,GHS,
NAC_BASIC_PREV_ONLY,Basic Preventive Nursing Standalone Access,NAC_BASIC_PREV,365,ACTIVE,PAID,5000,GHS,
,,,,,,,,
RN_FULL_FREE,Registered Nursing Free Full Access ,"GP, RN_MED, RN_SURG",30,ACTIVE,FREE,0,GHS,
RM_FULL_FREE,Registered Midwife Free Full Access ,"GP, RM_PED_OBS_HRN, RM_MID",30,ACTIVE,FREE,0,GHS,
RPHN_FULL_FREE,Registered Public Health Nursing Free Full Access ,"GP, RPHN_PPHN, RPHN_DISEASE_CTRL",30,ACTIVE,FREE,0,GHS,
RMHN_FULL_FREE,Registered Mental Health Nursing Free Full Access ,"GP, RMHN_PSYCH_NURS, RMHN_PSYCH_PPHARM",30,ACTIVE,FREE,0,GHS,
NACNAP_FULL_FREE,"Nursing Assistant, Preventive/Clinical Free Full Access ","GP, NAC_BASIC_CLIN, NAC_BASIC_PREV",30,ACTIVE,FREE,0,GHS,
,,,,,,,,
RN_2026_PREP,Registered Nursing 2026 Premium Prep,"GP, RN_MED, RN_SURG",240,ACTIVE,PAID,7900,GHS,"PREMIUM_2026,RN_2026"
RM_2026_PREP,Registered Midwife 2026 Premium Prep,"GP, RM_PED_OBS_HRN, RM_MID",240,ACTIVE,PAID,7900,GHS,"PREMIUM_2026,RM_2026"
RPHN_2026_PREP,Registered Public Health Nursing 2026 Premium Prep,"GP, RPHN_PPHN, RPHN_DISEASE_CTRL",240,ACTIVE,PAID,7900,GHS,"PREMIUM_2026,RPHN_2026"
RMHN_2026_PREP,Registered Mental Health Nursing 2026 Premium Prep,"GP, RMHN_PSYCH_NURS, RMHN_PSYCH_PPHARM",240,ACTIVE,PAID,7900,GHS,"PREMIUM_2026,RMHN_2026"
NACNAP_2026_PREP,"Nursing Assistant, Preventive/Clinical 2026 Premium Prep ","GP, NAC_BASIC_CLIN, NAC_BASIC_PREV",240,ACTIVE,PAID,7900,GHS,"PREMIUM_2026,NACNAP_2026"